ship,dis_near
20000,1.3876318176221618
20001,0.003650445820101978
20002,0.0021558087038350917
20003,0.25295509177712394
20004,0.0010146381933034316
20005,0.0367375236242923
20006,0.004727676051837066
20007,0.016923470927715997
20008,0.009783642133281655
20009,0.13233948237937584
20010,0.0010572531749041413
20011,0.0035355471463243524
20012,0.010189979270415376
20013,0.003594134685312265
20014,0.000918699999999717
20015,0.00231991839840458
20016,0.15144885677994394
20017,0.011950244761684528
20018,0.018012628291645016
20019,0.0006305986103899896
20020,0.0228209381095412
20021,0.01627003822804604
20022,0.006141781280343705
20023,0.2728410121401993
20024,0.006675952353749765
20025,0.0015620645241100992
20026,0.2361683050803329
20027,0.5338394860721396
20028,0.0017080769848539742
20029,0.0005301575608345477
20030,0.325307805526159
20031,0.06156682749997113
20032,0.023192762492370504
20033,0.03806602115182191
20034,0.014433320859159682
20035,0.046689009417156875
20036,0.0005276483799278459
20037,0.936267870233836
20038,0.06428576666032004
20039,0.0002637387807420208
20040,1.0521653113492928
20041,0.9460230701520294
20042,0.19214029299349464
20043,0.012473162649656968
20044,0.1545310533496534
20045,0.0008651246788996121
20046,0.0583504652424267
20047,0.05427733990433657
20048,0.060150731010174964
20049,0.32042416406259344
20050,0.003117921815079124
20051,0.00018232438993948108
20052,0.00024737291150375956
20053,0.4115053861687086
20054,0.1221649632224589
20055,0.23955187333248543
20056,0.0003133499999989908
20057,0.0005291175599556992
20058,0.10336278025511836
20059,0.1624822195638515
20060,0.0001606494033690903
20061,0.004383903457171101
20062,0.3113125721965783
20063,0.015130802567176025
20064,0.06553507890255662
20065,0.0031811504729364263
20066,0.009116519751977782
20067,0.062294274319076325
20068,0.020570622317056156
20069,0.0002739649280044523
20070,0.07384141519609214
20071,0.04061579162774821
20072,0.12820664786367855
20073,0.00033985858271333175
20074,0.0006749935529367614
20075,0.0035017892573969943
20076,0.8552476187809285
20077,0.2281107864094519
20078,0.20650697988482627
20079,0.03756809783375773
20080,0.017772396465274207
20081,0.0007828160358255906
20082,0.3522202847480495
20083,0.13166591645273382
20084,0.002318787150245092
20085,0.057587387020679226
20086,0.00805331729047494
20087,0.027464251489253074
20088,0.08172430530385859
20089,0.035616583706271986
20090,0.12212765771583443
20091,0.0018014130337724956
20092,0.0024712347408334264
20093,0.001958627203988416
20094,0.09631648547252179
20095,0.48819945920862273
20096,0.3128749747810977
20097,0.039733094339074786
20098,0.4249520452862872
20099,0.01410211432264853
20100,0.006273777963649354
20101,0.025721081186233206
20102,0.0006407769565820892
20103,0.006446114227306761
20104,0.09386730582988334
20105,0.002234611997052858
20106,0.0023565700000034444
20107,0.0016678301095192395
20108,0.006254294644928874
20109,0.12428380921242717
20110,0.015675823320337023
20111,0.034704418345377075
20112,0.004098889403575524
20113,0.00030081678028183467
20114,0.0012963414285209753
20115,0.0002491453109093242
20116,0.3904403912088592
20117,0.0018562153844250417
20118,0.8962428778070574
20119,0.0025488063116070555
20120,0.021809307952590902
20121,0.03332829884539258
20122,0.0023572843542453716
20123,0.09144603741592346
20124,0.07926129000000515
20125,0.1136015966344957
20126,0.06118517864980223
20127,0.13137263251693485
20128,2.4182522366143946
20129,0.0008271598464613392
20130,0.09187005443707005
20131,0.0019788571637534783
20132,0.11772399036619237
20133,0.055452079613664135
20134,0.002943350053193197
20135,0.15096123184206628
20136,0.33479264344377285
20137,0.1490187231291938
20138,0.004461618980269296
20139,0.05041241304522278
20140,0.03842598827481514
20141,0.2843121310359927
20142,0.11053522748881138
20143,0.3374652160844491
20144,0.012859930665384111
20145,0.425396303033501
20146,0.04104120605457055
20147,0.060172342356599254
20148,0.0014825387096408177
20149,0.0004411125521226301
20150,0.9766894010739644
20151,0.07484401822223084
20152,0.0031877125244462044
20153,0.11802767498033104
20154,0.0025962908091123893
20155,0.0011580069597319637
20156,0.006200507146029985
20157,0.0017108523198281487
20158,0.004081978809039034
20159,2.6347465547125437
20160,0.5384042508507753
20161,2.086777110757934
20162,0.06757825477724337
20163,0.21005843908169267
20164,0.36653280474545114
20165,0.3842323600332689
20166,0.023860912753691534
20167,0.8969469042334951
20168,0.0006438137845402434
20169,0.0008590099999992161
20170,0.012835234796566631
20171,0.3407248958517879
20172,0.37442636757061587
20173,0.0013799106769823233
20174,0.021534837970763696
20175,0.00013206821191859234
20176,0.07196478586081848
20177,0.301851705198574
20178,2.0296298368548555
20179,0.01529068216238965
20180,0.4574077897568051
20181,0.15615879299755223
